id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,category_name
0S0YKiEdR9cT9pYgEaTevF,O Magnum Mysterium: O magnum mysterium,0.991,0.0623,415800,0.0116,0.445,2.0,0.0816,-27.893,1.0,0.0567,65.057,3.0,0.0331,55,relax
2ShBWtVJYotHx3x1R0qXH8,Bir Fırtına Tuttu Bizi,0.977,0.553,205621,0.107,8.76e-05,5.0,0.113,-11.305,0.0,0.0333,89.872,4.0,0.117,46,relax
3nBn6Ox2yVzTuAmi2rbo9H,Summer Vibes,0.636,0.546,156753,0.132,0.903,11.0,0.135,-18.227,0.0,0.0344,130.016,4.0,0.15,56,active
40lNeC5gw6sOgJenmhFEoW,Sen Olmayan Biri,0.271,0.426,178981,0.507,0.00158,0.0,0.0962,-11.778,1.0,0.0318,149.925,4.0,0.339,29,relax
2hBzKCHtCS7qpnVC4H6rMV,Yanıldım Allahım,0.335,0.67,161860,0.515,1.77e-06,1.0,0.0523,-11.846,0.0,0.0496,85.997,4.0,0.292,54,active
6DV5mwk2kZw6GiDR2XUsjP,much loved,0.99,0.152,262413,0.0195,0.944,4.0,0.0676,-24.946,1.0,0.0395,143.978,3.0,0.0906,59,relax
1nV6VafLPuRSsXgbDY3i6L,One Last Dance,0.164,0.713,184000,0.719,0.0335,4.0,0.0853,-6.972,1.0,0.0455,119.993,4.0,0.24,67,active
5FuSWZB44fvaG86WNoZIPn,Heaven Is Your Company,0.00425,0.554,189000,0.891,0.694,7.0,0.468,-8.612,1.0,0.0761,114.971,4.0,0.278,31,active
7HgEjJCh0hQ0GO7PjQvEF3,Hayrola,0.0317,0.792,217365,0.627,5.48e-05,8.0,0.297,-7.691,0.0,0.172,151.01,4.0,0.547,63,active
7kXmJwrZGIhDaLT9sNo3ut,Hey Boy Hey Girl,0.119,0.632,290493,0.92,0.508,2.0,0.114,-4.976,1.0,0.0531,127.001,4.0,0.363,69,active
5o90qZDtuGZfJn5Wphwzgu,Col,0.989,0.416,142041,0.0838,0.915,8.0,0.11,-28.859,1.0,0.0267,113.601,1.0,0.39,40,relax
07ZtMuYDF9qmjK2g2waZga,Someone not like you (Instrumental),0.225,0.735,132000,0.386,0.891,6.0,0.114,-10.588,0.0,0.102,85.005,4.0,0.68,34,relax
7GJkHBbDnQ0JxgWoRWrcT9,Calming Quality,0.985,0.15,198214,0.0011,0.966,1.0,0.159,-40.823,1.0,0.0511,135.845,3.0,0.0337,72,relax
45pUWUeEWGoSdH6UF162G8,Broke Boys,0.0104,0.642,225439,0.533,0.000108,2.0,0.251,-7.45,1.0,0.266,120.041,4.0,0.112,77,active
7JMvAjBFlx26ZO7NPZukr0,Babba,0.00452,0.798,228723,0.968,0.908,9.0,0.0742,-6.889,1.0,0.0748,126.998,4.0,0.963,26,active
5hxfGCnFX0ruGMVsPKZ9eU,Yolu Yok,0.261,0.687,204512,0.709,0.0183,5.0,0.121,-5.155,0.0,0.043,80.991,4.0,0.3,60,active
1AO26gK1sI6PoFY9eUF8yV,Stone Love,0.0571,0.837,254800,0.478,0.00129,6.0,0.0569,-5.861,0.0,0.0627,78.746,4.0,0.81,66,relax
46qrqcOlSXd70Sa0tuSYtv,Montara,0.888,0.721,298373,0.268,0.832,0.0,0.0681,-16.844,1.0,0.0395,94.907,4.0,0.54,40,active
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,0.408,0.454,293183,0.913,0.000271,9.0,0.248,-4.008,1.0,0.107,137.688,4.0,0.521,81,relax
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,0.217,0.855,122772,0.463,1.77e-05,3.0,0.347,-7.454,1.0,0.0367,102.931,4.0,0.866,76,relax
6ilmDtTR9yGrZCIOnMLNQy,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),0.0383,0.779,153147,0.642,0.0,8.0,0.2,-6.321,0.0,0.116,82.363,4.0,0.388,70,active
6kKC35sKUh2FUx4M0qAL44,Candy,0.24,0.649,227173,0.767,0.0,11.0,0.0929,-3.838,0.0,0.0455,149.918,4.0,0.608,67,active
4KyEeZwIuoFH0n68qvl35b,Aurora,0.44,0.68,247868,0.484,0.905,9.0,0.176,-13.829,1.0,0.0761,122.044,4.0,0.0723,49,relax
7KtfkB0gyfxfa7lgSl2IJd,Attendance Record,0.105,0.601,232091,0.671,0.000746,6.0,0.432,-7.786,0.0,0.0399,89.985,4.0,0.421,22,active
0sb8ClU3CLoNblxkpmOKzA,Maybe You’re The Problem,0.0453,0.53,190318,0.835,0.0,9.0,0.0637,-3.69,1.0,0.11,166.02,4.0,0.471,73,active
0i8DeqqBpv2tfHNNQN3n9x,The Shards,0.993,0.353,138890,0.0129,0.818,1.0,0.109,-32.682,1.0,0.0398,72.206,4.0,0.25,40,relax
5iiPukjaEZxWXC0EAzFujm,Sehnsucht,0.977,0.145,170606,0.0142,0.904,11.0,0.104,-37.524,1.0,0.0353,69.169,4.0,0.0487,69,relax
3dIGoaCRQ7eRvnDLWe8nT3,Golden,0.235,0.686,261290,0.823,0.0714,9.0,0.109,-4.806,1.0,0.0434,124.025,4.0,0.0727,61,active
7CFh8OxBNvhebEQdGwfaRm,Paranoia,0.409,0.558,152816,0.523,0.0,2.0,0.151,-8.274,0.0,0.356,139.87,4.0,0.254,59,relax
2QSrwZ7iVknZgkfi4aD6cn,Saltwater,0.0006,0.552,247280,0.828,0.363,2.0,0.115,-5.811,1.0,0.0305,107.031,4.0,0.709,60,relax
2AZPcBbu7HTfffRG5xSQeR,Ein Schottisch Tanz,0.744,0.51,176746,0.276,0.921,2.0,0.0995,-18.042,1.0,0.0518,112.248,3.0,0.444,37,relax
79xizJgR2yV6BfP7Y4q40k,Natural Connection,0.981,0.145,208000,0.00153,0.936,7.0,0.115,-44.248,1.0,0.0424,139.008,3.0,0.0913,66,relax
3IKqDr3H0uSEAqwS8uXJ6z,Descent From the Heavens,0.508,0.691,126931,0.462,0.898,0.0,0.0891,-12.814,1.0,0.0496,131.965,4.0,0.138,42,relax
7nCdeDrv9Tu4nsT3K638em,Move,0.754,0.499,154340,0.406,4.17e-05,5.0,0.116,-12.104,0.0,0.0712,136.329,4.0,0.837,48,relax
1Jnrw6FS2CdkVQTRkz5bla,Haunting,0.553,0.398,174421,0.44,0.000116,9.0,0.114,-7.658,1.0,0.0321,200.428,4.0,0.204,32,active
7bk5U14iArhfEeazvoP3L5,La Belle Epoque,0.976,0.545,163124,0.0825,0.941,8.0,0.107,-25.163,0.0,0.0401,106.498,4.0,0.117,55,relax
1W9V27FifuPo99HvgYc0jz,Traffic,0.00333,0.587,141333,0.983,0.618,10.0,0.217,-6.091,0.0,0.104,135.032,4.0,0.263,65,active
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,0.805,0.358,180853,0.284,0.0,7.0,0.183,-8.285,1.0,0.0285,99.796,3.0,0.276,87,relax
0EnhQ7imjcQu06rNVQuXdX,Tangerine,5.97e-05,0.3,230181,0.799,0.0249,1.0,0.0492,-4.673,0.0,0.0554,151.903,4.0,0.407,40,active
0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,0.117,0.584,202746,0.7,0.0,11.0,0.0939,-4.275,1.0,0.0456,124.944,4.0,0.438,81,active
6LLb6rVMgQnGNZwwHSxTzn,For All You Give,0.956,0.499,191234,0.142,0.0029,11.0,0.109,-17.142,0.0,0.0387,138.726,4.0,0.354,67,relax
293QwzG48nRXlqk5lGDUbw,Keep It Low (feat. Future),0.0175,0.786,142451,0.698,0.0,1.0,0.194,-4.697,1.0,0.0976,154.954,4.0,0.168,76,active
3lxhuJetgOct3FN47LvZmO,I Can't Give You Anything,0.57,0.588,318980,0.396,0.00066,1.0,0.174,-9.113,1.0,0.0249,102.22,4.0,0.206,43,active
1x7NAvqHgCvhV549ls0FTE,Sunset Lovers,0.0234,0.806,176000,0.741,3.73e-05,1.0,0.0746,-6.362,0.0,0.0471,119.971,4.0,0.563,69,active
6EafRI0UtUidrZbbKpFRYq,Forget About Me,0.0428,0.721,177637,0.894,0.502,3.0,0.134,-7.59,0.0,0.0488,127.005,4.0,0.88,60,active
2M9dMZm19VVwBpJyi2vbSl,Steady Rural Rain,0.129,0.0953,181000,0.0266,0.996,1.0,0.925,-39.669,1.0,0.0998,90.779,4.0,1e-05,62,relax
2HvORsttUMTfUqEyhX7z1x,B'CUZ (feat. G Herbo),0.0469,0.702,171616,0.831,0.0,8.0,0.295,-3.505,1.0,0.27,153.127,4.0,0.518,52,active
5vbUKpzqUdNHi68OmxdmBC,Benden Bir Tane Daha Yok,0.246,0.788,139252,0.854,0.0,11.0,0.608,-7.48,1.0,0.202,97.025,4.0,0.83,51,active
2EBnvom1dTybtm75a3Xh1T,feel like shit,0.516,0.508,204314,0.378,0.0,7.0,0.119,-7.158,1.0,0.0473,144.962,4.0,0.161,70,relax
2uK3ghC7nVXanDzeTL22Zw,Extassy,0.00524,0.792,583278,0.814,0.914,2.0,0.0456,-7.722,0.0,0.0501,122.004,4.0,0.506,49,relax
6XtI7qyGCaPtXghHg4LSgb,Let Me Be Yours,0.0569,0.867,317333,0.518,2.83e-05,6.0,0.0535,-11.902,1.0,0.0603,110.694,4.0,0.724,36,active
68lTEhMEx4MxDCJypT6bXE,Escape - John Summit Remix,0.0009,0.631,226666,0.84,0.0374,9.0,0.109,-5.768,0.0,0.0347,125.992,4.0,0.113,64,active
0nXqnXFlnJwjhXDTbZDuav,Never the Same,0.116,0.71,207949,0.513,0.00124,0.0,0.104,-8.916,1.0,0.0652,101.006,4.0,0.248,39,active
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,0.607,0.614,258986,0.379,0.000464,4.0,0.0986,-10.48,1.0,0.0476,107.989,4.0,0.201,88,active
5ouC4PQi7ES7ABUHePo8iO,Komsi Komsa,0.339,0.825,153024,0.574,0.0,9.0,0.0787,-7.654,1.0,0.195,142.1,4.0,0.359,15,active
4SnuG111QPmgwRmlwhJ4Mg,Hold Me,0.586,0.762,140000,0.942,0.764,9.0,0.115,-6.432,0.0,0.038,120.0,4.0,0.038,75,active
7Bpivl6q9y2FgSp1nr5MZ8,Small Town Hypocrite,0.442,0.409,241899,0.503,0.0,3.0,0.0867,-6.859,1.0,0.0424,73.104,4.0,0.193,53,relax
0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,0.077,0.364,214800,0.554,0.000297,4.0,0.125,-9.076,1.0,0.0301,150.079,3.0,0.257,82,relax
1QrYNyzm91YKxzcyNrso0j,Nativity Carol,0.987,0.125,268400,0.0414,0.799,2.0,0.0826,-27.95,1.0,0.0459,83.644,3.0,0.0818,13,relax
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,0.00121,0.352,222973,0.911,0.0,1.0,0.0995,-5.23,1.0,0.0747,148.033,4.0,0.236,88,relax
3GJ4hzg4lrGwU51Y3VARbF,Speechless,0.356,0.616,213386,0.438,0.0,1.0,0.24,-5.968,1.0,0.0298,135.929,4.0,0.386,76,active
7x29ikGEInCzC5IrN3zMhI,Morning-Star,0.935,0.289,180308,0.00882,0.898,7.0,0.115,-28.999,1.0,0.0389,133.912,4.0,0.175,53,active
4tkzQ9Eg3OeuZuAH8O3aUl,Solitude I,0.975,0.185,229606,0.0535,0.953,1.0,0.0998,-26.329,1.0,0.0435,179.997,3.0,0.0849,52,relax
2EiazSYyCSlBEKED2EvysD,LK Feat. Stamina MC (Carol Carolina Bela),0.0125,0.651,329746,0.932,0.426,8.0,0.212,-6.459,0.0,0.0686,174.008,4.0,0.966,55,active
1L7588Rq7oVuIEbxrBAuoP,Mouth - Pepe Bradock Remix,0.0668,0.94,352400,0.716,0.0527,6.0,0.075,-7.532,0.0,0.0828,126.017,4.0,0.59,19,active
0Njq45PNda0vF1u59sqDWa,Hançer - Akustik,0.459,0.421,215832,0.769,0.0,0.0,0.131,-6.507,0.0,0.0326,81.698,4.0,0.388,56,active
1MyEvvQzgO8iLg6FpxWwfW,"Dido and Aeneas, Z. 626: The Witches Dance (Arr. Montanari for Chamber Ensemble)",0.105,0.381,89080,0.125,0.000292,10.0,0.366,-18.461,1.0,0.0497,92.105,4.0,0.295,19,relax
3Vkh7zr3FM9SyHtZLCIYG1,I'm A Star,0.15,0.737,199666,0.912,7.42e-05,7.0,0.0392,-2.442,0.0,0.0328,109.981,4.0,0.886,35,active
2gBHfUuzqb4JP662SOIX7O,Nurse!,0.00576,0.685,228268,0.598,2.3e-05,11.0,0.0926,-6.398,1.0,0.0305,117.99,4.0,0.582,51,active
0p6olbVHkNaijGRG6IDEnK,Ballade Pour Elly,0.992,0.456,243209,0.0555,0.96,3.0,0.136,-22.393,1.0,0.0636,145.477,4.0,0.38,63,active
5TnEWZLa5MxYbB3Ua0w6az,Kafam Çok Dolu,0.0252,0.46,297624,0.495,0.000738,9.0,0.167,-6.004,0.0,0.0323,159.815,4.0,0.343,52,active
1YdF0ZRYUc38rfcpYGCw9x,Paloma - Psychedelic Mix,0.0203,0.809,494610,0.589,0.396,2.0,0.0948,-8.348,1.0,0.0614,99.999,4.0,0.194,41,active
1U5tJubfZ9KQ7mLiOnXx0g,Gentle Rain,0.000598,0.219,212000,0.472,0.969,10.0,0.343,-34.649,0.0,0.0461,98.403,4.0,0.0384,47,relax
1cLqcUQzMpgiSCp6Bqx7X8,"Auf dem Wasser zu singen, D. 774 - Transcription: Franz Liszt, Searle 558 No. 2",0.985,0.235,232440,0.158,0.925,8.0,0.115,-20.795,0.0,0.0365,104.886,4.0,0.182,47,relax
3Wn2LERRfDw8N6CAi1auJZ,Balenciaga,0.051,0.749,151142,0.712,0.0406,5.0,0.259,-6.511,0.0,0.116,105.032,4.0,0.125,51,active
2SpphQibJfkN9GY5nuzlof,Like That,7.99e-06,0.491,155342,0.832,0.0492,7.0,0.858,-4.391,0.0,0.0412,145.938,4.0,0.437,48,active
1bgKMxPQU7JIZEhNsM1vFs,Words (feat. Zara Larsson),0.0245,0.739,142677,0.586,0.000252,10.0,0.308,-5.079,0.0,0.0472,124.026,4.0,0.444,84,active
5t3Vk8bRKylx4fjj7qlbib,bitches broken hearts,0.921,0.778,176471,0.422,0.00924,0.0,0.0958,-10.114,1.0,0.0482,120.033,4.0,0.187,76,active
5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,0.0128,0.606,232906,0.799,0.0,9.0,0.15,-4.452,1.0,0.0261,103.014,4.0,0.638,78,relax
4SD2UnbSVWBulYnFMg8KSi,As Time Goes By,0.837,0.61,331141,0.26,8.61e-05,5.0,0.134,-12.81,0.0,0.0348,119.998,4.0,0.182,40,active
0f6Fb3g0DRpCIbhljotYwO,Windows,0.705,0.471,192106,0.446,0.441,8.0,0.18,-12.842,0.0,0.0315,107.248,1.0,0.488,48,relax
1KAZ7QTfcTzLSnKu5dtlmE,Fever,0.0423,0.732,172173,0.892,0.401,7.0,0.143,-6.252,0.0,0.0537,138.007,4.0,0.274,33,active
0tne1w33e8cNziPZtnAjyO,Over The Sea,0.0102,0.753,206088,0.879,0.223,2.0,0.347,-4.935,0.0,0.0398,132.002,4.0,0.243,45,relax
1wb4P4F0sxAQ2KXrRvsx6n,You're Still The One,0.363,0.585,212200,0.494,0.0,3.0,0.0886,-8.751,1.0,0.0353,133.822,4.0,0.634,81,active
4goQTzhTJuKmLGJLLEsILq,Birkaç güzel gün için,0.41,0.729,166191,0.685,1.37e-05,9.0,0.12,-9.637,0.0,0.105,93.969,4.0,0.32,44,active
5IFSvSEeCAvvBEQ85poqKB,Edge of Seventeen,0.0324,0.708,164042,0.909,0.527,5.0,0.08,-5.999,0.0,0.0476,127.997,4.0,0.351,76,active
2KoOmthnxLfILro3H7liTQ,Slab,0.146,0.403,108880,0.692,0.0937,0.0,0.0828,-7.337,1.0,0.0543,108.218,4.0,0.888,46,active
6QQoCQORGxyXRnnDech7dB,Uykumun Boynunu Bükme,0.0322,0.538,273992,0.477,0.000244,9.0,0.0939,-10.481,0.0,0.027,105.898,4.0,0.721,54,active
5NPg92vbjaGk4q9mh7MMEM,Kül,0.625,0.33,294532,0.439,0.000368,10.0,0.177,-9.801,0.0,0.041,175.676,4.0,0.21,69,active
03ZQhvP0UXQvUhGxlGqOSq,Do You Love Me Lately?,0.866,0.605,236408,0.205,0.000116,7.0,0.144,-15.486,1.0,0.0347,115.955,4.0,0.0889,49,relax
7vL9rAHS2fLo8EjvGvtWr7,Shimmy (feat. Joey Bada$$),0.147,0.762,155843,0.681,0.0,10.0,0.149,-6.21,0.0,0.285,154.089,4.0,0.433,65,active
29JQDbmX809wSWgwRKCXUd,In Vacuo,0.95,0.172,153230,0.0785,0.756,10.0,0.117,-28.719,0.0,0.0425,120.677,5.0,0.168,56,relax
1c2vVx6knoiZHXbJJ9Mk8L,AEIOU,0.0493,0.689,161880,0.856,0.0,5.0,0.232,-3.394,0.0,0.0813,126.108,4.0,0.706,69,active
2URXzpbSUwOjltvpgtzXua,You Will Be Found (with Summer Walker) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,0.477,0.397,237814,0.413,0.0,1.0,0.0835,-7.701,1.0,0.0342,77.864,4.0,0.492,67,active
587Od7PBk6Zh3voXvj91vG,My Ideal,0.994,0.366,210882,0.0353,0.938,7.0,0.105,-25.495,1.0,0.0341,87.801,3.0,0.108,51,active
25H7KnYjGremp6gClJy0kE,Uyuşuyo Sadece,0.199,0.699,181109,0.646,0.00015,10.0,0.143,-8.407,0.0,0.0411,108.057,4.0,0.0624,37,relax
03jdl5GTBhKsgB1Yw8mVPh,In Between,0.00285,0.462,213576,0.972,0.0,7.0,0.666,-2.642,0.0,0.138,128.092,4.0,0.449,70,active
0QQIhT6PtJ5glyn4HKNKQ6,All the Pretty Girls,0.626,0.466,269893,0.496,6.22e-06,1.0,0.117,-6.606,1.0,0.0302,74.747,4.0,0.352,71,relax
2DsUXoqK3HXx2Sat09W7uN,Selva y mar,0.383,0.63,248099,0.559,0.462,6.0,0.149,-11.7,0.0,0.0363,150.114,4.0,0.919,42,relax
7ARNzfrqpURb3Era5uY7rX,Bu Yüzden,0.126,0.789,205706,0.725,0.0,2.0,0.0579,-7.013,1.0,0.0564,105.01,4.0,0.532,46,active
3i0FkJYlU4MFfYkjFHXXAM,I'm Not Here To Make Friends,0.172,0.698,229604,0.895,1.45e-05,0.0,0.409,-4.439,1.0,0.0628,114.914,4.0,0.838,81,relax
3MNwdY69Zi8DC1lAP71bhp,tea break,0.637,0.526,123750,0.15,0.892,5.0,0.386,-18.198,0.0,0.0323,95.911,3.0,0.3,55,relax
2g2Lp3kUkZ4HqtxBrDu5Tt,Let's Do It (feat. NLE Choppa & Dee Play4Keeps),0.264,0.777,155783,0.751,0.0,0.0,0.0729,-8.621,1.0,0.379,73.987,4.0,0.82,67,active
2b2LUjMx9LKwIARJf93Rbd,not ur friend,0.301,0.778,174520,0.313,0.0,4.0,0.667,-9.288,1.0,0.421,68.936,4.0,0.707,61,active
0iYsrjk7owSIKL2TEv0sRA,On Our Plates,0.935,0.432,247363,0.233,0.894,0.0,0.0893,-16.919,1.0,0.0346,120.005,4.0,0.0744,32,relax
0uEqGj52IUFOcVXb4nK0sz,Forgiveness,0.628,0.552,247948,0.449,0.025,0.0,0.116,-8.024,0.0,0.0288,83.88,4.0,0.171,53,relax
0XRbYXQUymj9SJkrr8YK5B,Keep Ya Head Up,0.144,0.598,262506,0.732,0.0,4.0,0.508,-7.013,1.0,0.425,172.329,4.0,0.595,74,active
0TtgKq96j4bpE5UQUDXrwH,Doppler,0.00164,0.801,433971,0.713,0.928,1.0,0.33,-8.268,1.0,0.0675,134.986,4.0,0.0491,60,active
0w80B8Qah90Owttcvu9xR1,Breath,0.815,0.362,214532,0.277,2.85e-06,11.0,0.41,-13.857,1.0,0.0414,105.024,4.0,0.0805,32,active
7odpvITlqx8YH3QQONsJf5,Il Segreto Dell Isola,0.994,0.581,178142,0.00698,0.944,7.0,0.0958,-27.856,1.0,0.0513,74.912,3.0,0.365,38,active
557DLyFeg06jCV2cpT005C,Toxic,0.384,0.688,213288,0.478,0.0,10.0,0.0975,-7.04,0.0,0.202,99.998,4.0,0.444,63,active
3GkQknFe1Ua3llsq7KkYKJ,Compass,0.819,0.183,189856,0.0354,0.783,4.0,0.107,-35.457,1.0,0.0438,67.516,5.0,0.0324,49,active
2fmtrXfvbN8xkHwE0zgTTc,on & on,0.149,0.609,135013,0.765,0.017,4.0,0.0815,-7.65,0.0,0.0633,173.993,4.0,0.819,68,active
3NTe8To0EjCwUlUpjHxM4K,Livet3,0.258,0.747,75767,0.581,0.000137,5.0,0.105,-13.54,0.0,0.089,139.818,3.0,0.769,6,relax
3CQuCLPRRf5cD9Xubjcrf2,Carry You,0.482,0.464,272640,0.448,2.64e-05,11.0,0.126,-6.11,1.0,0.0269,163.172,3.0,0.463,53,relax
4oW3KhJe9rZvz4envXMHxm,Günah,0.874,0.886,156850,0.649,1.95e-05,7.0,0.501,-7.704,0.0,0.16,127.033,4.0,0.714,32,active
1QaJWSCk3UMKLotnPCIHh1,Brass in Pocket - 2006 Remaster,0.368,0.751,185960,0.703,0.00123,9.0,0.196,-5.687,1.0,0.0287,97.931,4.0,0.907,64,active
3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,0.0092,0.613,128198,0.822,0.506,9.0,0.429,-4.087,1.0,0.026,105.997,4.0,0.567,84,active
2xQBAwN1fCgNdCqwBdB7GF,Warehouse Anthem - Polymod Remix,8.04e-05,0.709,336125,0.763,0.334,7.0,0.0858,-8.074,1.0,0.0602,130.028,4.0,0.2,26,active
0f5QoMbJDcxyGHSngaFfT4,see-thru,0.00213,0.766,143225,0.633,0.0,0.0,0.164,-7.052,1.0,0.036,123.975,4.0,0.855,0,active
2vmfvSoZBFAt9hhRoEByLi,Volví,0.422,0.725,230125,0.86,0.000284,1.0,0.0674,-3.726,1.0,0.182,175.896,4.0,0.791,82,active
7z0ZmNJLTyMKEziFzRTk1l,Morning View,1.55e-05,0.105,195212,0.973,0.927,2.0,0.381,-4.859,1.0,0.0924,176.092,4.0,0.197,31,active
1QG9Rm1xK9uWH8BpS4hw5H,Değmen Benim Gamlı Yaslı Gönlüme,0.885,0.385,225333,0.38,0.00613,6.0,0.195,-7.87,0.0,0.0321,110.027,4.0,0.275,47,relax
2Yu1t33vjxWFbZTynPk1by,It's My Fault - From the Netflix Series “Bridgerton Season Two”,0.215,0.24,231825,0.247,0.911,0.0,0.127,-18.654,0.0,0.0382,123.859,4.0,0.0389,47,active
6HpHSbOQQdT94b2hKqHvlc,Brown Noise Snoozing,0.732,0.133,224311,0.108,0.971,0.0,0.111,-38.664,1.0,0.08,142.57,5.0,0.0387,72,relax
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,0.0129,0.811,222400,0.719,1.36e-05,9.0,0.0742,-6.553,1.0,0.0497,103.979,4.0,0.865,87,relax
7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,0.0604,0.675,181279,0.751,0.0,0.0,0.0893,-3.539,1.0,0.0296,118.384,4.0,0.612,77,active
0LtOwyZoSNZKJWHqjzADpW,Feels Like We Only Go Backwards,0.0277,0.303,192960,0.9,0.635,2.0,0.11,-2.352,0.0,0.0574,149.508,4.0,0.491,78,active
60nZcImufyMA1MKQY3dcCH,Happy - From 'Despicable Me 2',0.219,0.647,232720,0.822,0.0,5.0,0.0908,-4.662,0.0,0.183,160.019,4.0,0.962,84,relax
3qBjnDMDQrSKXKkBHok6oo,Afterhours,0.993,0.299,178000,0.0326,0.891,3.0,0.111,-31.81,1.0,0.0388,81.426,3.0,0.0938,54,active
7wHSoSqiCeLNn56BjPvece,Ensamma nätter,0.977,0.5,148090,0.025,0.957,3.0,0.104,-28.528,1.0,0.0606,110.023,4.0,0.183,56,relax
6Fgzh26G7ZRawCdHBG7BNq,afternoon shower,0.358,0.805,127595,0.669,0.885,0.0,0.123,-8.052,1.0,0.242,170.051,4.0,0.427,34,relax
0SctzStskP74wkmBBXlmEn,Edge of the Ocean,0.33,0.744,295867,0.749,0.169,1.0,0.0986,-5.982,0.0,0.0318,144.015,4.0,0.893,55,relax
6hf0RpxTbOprT5nnwzkk8e,Qué Más Pues?,0.0261,0.891,217773,0.819,0.000354,8.0,0.173,-3.964,1.0,0.106,101.968,4.0,0.768,75,active
0N2rGjQLuT0GqVueJxjQS6,dirty laundry - slowed,0.0775,0.788,167369,0.664,2.8e-06,5.0,0.252,-6.633,0.0,0.0427,96.024,4.0,0.547,49,relax
3NZJlJemX3mzjf56MqC5ML,Forever,0.0368,0.672,278573,0.82,0.000188,11.0,0.184,-4.456,1.0,0.0459,120.005,4.0,0.438,80,relax
49slT7gVW0zj1KIG8w6DoL,A Message to You Rudy - 2015 Remaster,0.105,0.903,172920,0.452,5.18e-05,0.0,0.27,-8.491,1.0,0.0505,102.742,4.0,0.969,67,active
5MFR2Gq7oBZvTjxdCp8WJc,Mary Had A Little Lamb,0.996,0.501,89217,0.0294,0.967,0.0,0.116,-27.433,1.0,0.0912,79.789,4.0,0.534,68,relax
56Yxkm62GtEpnPyG7TvwLY,LOCO,0.0103,0.759,191462,0.886,2.04e-05,1.0,0.342,-3.067,1.0,0.187,102.065,4.0,0.489,76,active
29b5TcQl92h4S0qcV33ZaU,The Seal Lullaby,0.986,0.113,274666,0.044,0.849,1.0,0.0914,-27.48,1.0,0.0437,65.418,4.0,0.071,34,relax
4ExtqIKNZLLmatRTVzlzFu,"Consolations, S. 172: No. 3, Lento placido",0.986,0.269,312813,0.00229,0.868,1.0,0.174,-39.158,1.0,0.0372,69.659,3.0,0.0882,57,relax
5RBx3tM9hmVJAOnSUHIWkn,Rock & Roll,0.0395,0.462,240320,0.767,0.0,10.0,0.728,-5.038,1.0,0.0686,201.064,4.0,0.901,59,relax
